Gene stable ID	Gene name	Gene type	Gene Synonym	Chromosome/scaffold name	NCBI gene (formerly Entrezgene) ID
WBGene00016903	marc-4	protein_coding	C53D5.3	I	171616
WBGene00016904	C53D5.3	protein_coding	C53D5.3	I	171616
WBGene00016903	marc-4	protein_coding	CELE_C53D5.3	I	171616
WBGene00016904	C53D5.3	protein_coding	CELE_C53D5.3	I	171616
WBGene00008514	mrpl-44	protein_coding	CELE_F02A9.4	III	176285
WBGene00303021	F02A9.10	protein_coding	CELE_F02A9.4	III	176285
WBGene00008514	mrpl-44	protein_coding	mrpl-44	III	176285
WBGene00303021	F02A9.10	protein_coding	mrpl-44	III	176285
WBGene00006794	unc-60	protein_coding	CELE_F53E2.2	V	178640
WBGene00302980	F53E2.2	protein_coding	CELE_F53E2.2	V	178640
WBGene00006794	unc-60	protein_coding	F53E2.2	V	178640
WBGene00302980	F53E2.2	protein_coding	F53E2.2	V	178640
WBGene00001560	gei-3	protein_coding	CELE_T22H6.6	X	184597
WBGene00008901	nhr-27	protein_coding	CELE_T22H6.6	X	184597
WBGene00001560	gei-3	protein_coding	gei-3	X	184597
WBGene00008901	nhr-27	protein_coding	gei-3	X	184597
WBGene00000001	aap-1	protein_coding		I	172141
WBGene00000002	aat-1	protein_coding		IV	177793
WBGene00000003	aat-2	protein_coding		V	184126
WBGene00000004	aat-3	protein_coding		X	180557
WBGene00000005	aat-4	protein_coding		IV	177388
WBGene00000006	aat-5	protein_coding		I	171814
WBGene00000007	aat-6	protein_coding		V	188421
WBGene00000008	aat-7	protein_coding		II	186240
WBGene00000009	aat-8	protein_coding		IV	185079
WBGene00000010	aat-9	protein_coding		I	190250
WBGene00000012	abf-1	protein_coding		I	266827
WBGene00000013	abf-2	protein_coding		I	266826
WBGene00000014	abf-3	protein_coding		V	186202
WBGene00000015	abf-4	protein_coding		V	189702
WBGene00000016	abf-5	protein_coding		X	188770
WBGene00000017	abf-6	protein_coding		X	181418
WBGene00000018	abl-1	protein_coding		X	181261
WBGene00000019	abt-1	protein_coding		IV	182849
WBGene00000020	abt-2	protein_coding		I	171782
WBGene00000021	abt-3	pseudogene		IV	
WBGene00000022	abt-4	protein_coding		V	178559
WBGene00000023	abt-5	protein_coding		I	173081
WBGene00000024	abu-1	protein_coding		V	181800
WBGene00000025	abu-2	protein_coding		X	184695
WBGene00000026	abu-3	pseudogene		X	
WBGene00000027	abu-4	protein_coding		V	353458
WBGene00000028	abu-5	protein_coding		IV	190870
WBGene00000029	abu-6	protein_coding		V	178903
WBGene00000030	abu-7	protein_coding		V	182139
WBGene00000031	abu-8	protein_coding		V	178904
WBGene00000032	abu-9	protein_coding		X	187749
WBGene00000033	abu-10	protein_coding		X	185248
WBGene00000034	abu-11	protein_coding		II	173404
WBGene00000035	ace-1	protein_coding		X	181706
WBGene00000036	ace-2	protein_coding		I	171905
WBGene00000037	ace-3	protein_coding		II	175076
WBGene00000038	ace-4	protein_coding		II	175074
WBGene00000039	acn-1	protein_coding		X	180780
WBGene00000040	aco-1	protein_coding		X	181324
WBGene00000041	aco-2	protein_coding		III	176121
WBGene00000042	acr-2	protein_coding		X	180936
WBGene00000043	acr-3	protein_coding		X	180937
WBGene00000044	acr-5	protein_coding		III	191596
WBGene00000045	acr-6	protein_coding		I	191479
WBGene00000046	acr-7	protein_coding		II	174262
WBGene00000047	acr-8	protein_coding		X	181246
WBGene00000048	acr-9	protein_coding		X	191597
WBGene00000049	acr-10	protein_coding		X	191598
WBGene00000050	acr-11	protein_coding		I	191599
WBGene00000051	acr-12	protein_coding		X	181475
WBGene00000053	acr-14	protein_coding		II	191601
WBGene00000054	acr-15	protein_coding		V	191602
WBGene00000055	acr-16	protein_coding		V	179235
WBGene00000056	acr-17	protein_coding		V	191603
WBGene00000057	acr-18	protein_coding		V	191604
WBGene00000058	acr-19	protein_coding		I	191605
WBGene00000059	acr-20	protein_coding		II	187632
WBGene00000060	acr-21	protein_coding		III	
WBGene00000061	lgc-11	protein_coding		X	181009
WBGene00000062	acr-23	protein_coding		V	191606
WBGene00000063	act-1	protein_coding		V	179535
WBGene00000064	act-2	protein_coding		V	179534
WBGene00000065	act-3	protein_coding		V	179533
WBGene00000066	act-4	protein_coding		X	180767
WBGene00000067	act-5	protein_coding		III	176793
WBGene00000068	acy-1	protein_coding		III	175622
WBGene00000069	acy-2	protein_coding		V	191607
WBGene00000070	acy-3	protein_coding		III	175489
WBGene00000071	acy-4	protein_coding		V	178949
WBGene00000072	add-1	protein_coding		X	180760
WBGene00000073	add-2	protein_coding		V	179647
WBGene00000074	adm-2	protein_coding		X	181489
WBGene00000075	adm-4	protein_coding		X	181041
WBGene00000079	adr-1	protein_coding		I	172542
WBGene00000080	adr-2	protein_coding		III	176022
WBGene00000081	ads-1	protein_coding		III	175192
WBGene00000082	adt-1	protein_coding		X	181412
WBGene00000083	adt-2	protein_coding		X	181022
WBGene00000084	aex-1	protein_coding		I	172519
WBGene00000085	aex-2	protein_coding		X	188491
WBGene00000086	aex-3	protein_coding		X	180420
WBGene00000088	aex-5	protein_coding		I	173358
WBGene00000089	aex-6	protein_coding		I	173223
WBGene00000090	age-1	protein_coding		II	174762
WBGene00000092	ags-3	protein_coding		X	180801
WBGene00000093	agt-1	protein_coding		IV	190454
WBGene00000094	agt-2	protein_coding		II	184244
WBGene00000095	aha-1	protein_coding		I	172889
WBGene00000096	ahr-1	protein_coding		I	172788
WBGene00000097	aip-1	protein_coding		V	179898
WBGene00000098	air-1	protein_coding		V	179202
WBGene00000099	air-2	protein_coding		I	172268
WBGene00000100	ajm-1	protein_coding		X	181148
WBGene00000101	aka-1	protein_coding		II	174216
WBGene00000102	akt-1	protein_coding		V	179424
WBGene00000103	akt-2	protein_coding		X	181524
WBGene00000105	alg-1	protein_coding		X	181504
WBGene00000106	alg-2	protein_coding		II	173468
WBGene00000107	alh-1	protein_coding		III	175691
WBGene00000108	alh-2	protein_coding		V	187001
WBGene00000109	alh-3	protein_coding		IV	177999
WBGene00000110	alh-4	protein_coding		V	179026
WBGene00000111	alh-5	protein_coding		V	178680
WBGene00000112	alh-6	protein_coding		II	173510
WBGene00000113	alh-7	protein_coding		II	174991
WBGene00000114	alh-8	protein_coding		II	174800
WBGene00000115	alh-9	protein_coding		III	175820
WBGene00000116	alh-10	protein_coding		X	180979
WBGene00000117	alh-11	protein_coding		III	185679
WBGene00000118	alh-12	protein_coding		III	176056
WBGene00000120	aly-1	protein_coding		IV	177735
WBGene00000121	aly-2	protein_coding		IV	177738
WBGene00000122	aly-3	protein_coding		IV	178157
WBGene00000123	ama-1	protein_coding		IV	177190
WBGene00000133	amt-1	protein_coding		X	180729
WBGene00000134	amt-2	protein_coding		IV	186047
WBGene00000135	amt-3	protein_coding		II	174338
WBGene00000136	amt-4	protein_coding		X	180728
WBGene00000137	amx-1	protein_coding		III	175493
WBGene00000138	amx-2	protein_coding		I	173146
WBGene00000139	amx-3	protein_coding		V	184919
WBGene00000140	anc-1	protein_coding		I	172034
WBGene00000142	aos-1	protein_coding		V	179409
WBGene00000143	apc-2	protein_coding		III	176139
WBGene00000144	apc-10	protein_coding		V	179454
WBGene00000145	apc-11	protein_coding		III	175604
WBGene00000146	ape-1	protein_coding		V	179601
WBGene00000147	aph-1	protein_coding		I	172747
WBGene00000148	aph-2	protein_coding		I	172905
WBGene00000149	apl-1	protein_coding		X	180783
WBGene00000150	apm-1	protein_coding		I	172180
WBGene00000151	apn-1	protein_coding		II	174291
WBGene00000155	app-1	protein_coding		I	172118
WBGene00000156	apr-1	protein_coding		I	172591
WBGene00000157	aps-2	protein_coding		X	184091
WBGene00000158	apg-1	protein_coding		I	173304
WBGene00000159	aps-1	protein_coding		V	178989
WBGene00000160	apb-1	protein_coding		III	175376
WBGene00000161	apa-2	protein_coding		X	181163
WBGene00000162	apd-3	protein_coding		II	173701
WBGene00000163	apb-3	protein_coding		I	172553
WBGene00000164	apm-3	protein_coding		X	186194
WBGene00000165	aps-3	protein_coding		I	171691
WBGene00000166	apt-9	protein_coding		X	189194
WBGene00000168	apx-1	protein_coding		V	178759
WBGene00000169	aqp-1	protein_coding		II	174190
WBGene00000170	aqp-2	protein_coding		II	174467
WBGene00000171	aqp-3	protein_coding		IV	190553
WBGene00000172	aqp-4	protein_coding		V	179366
WBGene00000173	aqp-5	protein_coding		V	183221
WBGene00000174	aqp-6	protein_coding		V	183121
WBGene00000175	aqp-7	protein_coding		X	180589
WBGene00000176	aqp-8	protein_coding		X	180744
WBGene00000177	aqp-9	protein_coding		I	3565336
WBGene00000178	aqp-10	protein_coding		II	174537
WBGene00000179	aqp-11	protein_coding		III	191343
WBGene00000180	arc-1	protein_coding		II	174525
WBGene00000181	ard-1	protein_coding		IV	178016
