Gene stable ID	Gene name	Chromosome/scaffold name	Gene Synonym	Gene type	NCBI gene (formerly Entrezgene) ID
FBgn0267594	CR45932	211000022278279	CR45932	pseudogene	
FBgn0259849	Su(Ste):CR42418	211000022278436	Su(Ste):CR42418	ncRNA	7354452
FBgn0085494	Mst77Y-16Psi	211000022278449	Mst77Y-16Psi	pseudogene	5740181
FBgn0085506	CG40635	211000022278760	CG40635	protein_coding	5740827
FBgn0259870	Su(Ste):CR42439	211000022279165	Su(Ste):CR42439	ncRNA	7354392
FBgn0259817	SteXh:CG42398	211000022279188	SteXh:CG42398	protein_coding	7354447
FBgn0085511	lncRNA:CR40719	211000022279264	lncRNA:CR40719	ncRNA	12798485
FBgn0259864	Su(Ste):CR42433	211000022279392	Su(Ste):CR42433	ncRNA	7354386
FBgn0259837	Su(Ste):CR42406	211000022279681	Su(Ste):CR42406	ncRNA	7354439
FBgn0085692	CG41561	211000022280328	CG41561	protein_coding	5740542
FBgn0267595	CR45933	211000022280341	CR45933	pseudogene	
FBgn0085540	lncRNA:CR40947	211000022280347	lncRNA:CR40947	ncRNA	10178818
FBgn0259842	Su(Ste):CR42411	211000022280481	Su(Ste):CR42411	ncRNA	7354444
FBgn0259839	Su(Ste):CR42408	211000022280494	Su(Ste):CR42408	ncRNA	7354442
FBgn0259840	Su(Ste):CR42409	211000022280494	Su(Ste):CR42409	ncRNA	7354441
FBgn0267596	CR45934	211000022280703	CR45934	pseudogene	
FBgn0031208	CR11023	2L	CR11023	pseudogene	33155
FBgn0002121	l(2)gl	2L	l(2)gl	protein_coding	33156
FBgn0031209	Ir21a	2L	Ir21a	protein_coding	33157
FBgn0031209	Ir21a	2L	Ir21a	protein_coding	33157
FBgn0263584	asRNA:CR43609	2L	asRNA:CR43609	ncRNA	12797867
FBgn0051973	Cda5	2L	Cda5	protein_coding	33158
FBgn0051973	Cda5	2L	Cda5	protein_coding	33158
FBgn0267987	lncRNA:CR46254	2L	lncRNA:CR46254	ncRNA	26067564
