NCBI gene (formerly Entrezgene) ID	Gene stable ID	Chromosome/scaffold name	Gene Synonym	Gene type	Gene name
	ENSRNOG00000066169	1		protein_coding	
	ENSRNOG00000064641	4		protein_coding	
295744	ENSRNOG00000033395	3		protein_coding	Olr473
	ENSRNOG00000066660	3		protein_coding	
293205	ENSRNOG00000070168	1	LOC100911601	protein_coding	Olr56
292708	ENSRNOG00000070901	1	LOC292708	protein_coding	Irgq
292708	ENSRNOG00000070901	1	RGD1309409	protein_coding	Irgq
	ENSRNOG00000064338	2		lncRNA	
293654	ENSRNOG00000018029	1	Doc2gp	protein_coding	Doc2g
293654	ENSRNOG00000018029	1	LOC293654	protein_coding	Doc2g
292700	ENSRNOG00000031391	1	Bcl3	protein_coding	Ceacam16
292700	ENSRNOG00000031391	1	LOC292700	protein_coding	Ceacam16
120100214	ENSRNOG00000055342	1		snRNA	U7
	ENSRNOG00000068698	1		pseudogene	
	ENSRNOG00000064173	2		lncRNA	
120100281	ENSRNOG00000067904	1		snoRNA	SNORD115
	ENSRNOG00000063979	1		snRNA	U4
	ENSRNOG00000064851	1		lncRNA	
	ENSRNOG00000067593	3		lncRNA	
	ENSRNOG00000063562	1		lncRNA	
	ENSRNOG00000050129	1		protein_coding	AABR07000137.1
100526632	ENSRNOG00000056886	1	rno-mir-291b	miRNA	Mir291b
	ENSRNOG00000029996	3		protein_coding	AABR07054368.1
102548503	ENSRNOG00000032625	1		protein_coding	AC118165.1
690251	ENSRNOG00000029315	1		protein_coding	AC099294.1
24401	ENSRNOG00000016356	1	AAT1	protein_coding	Got1
24401	ENSRNOG00000016356	1	ASAT	protein_coding	Got1
24401	ENSRNOG00000016356	1	cCAT	protein_coding	Got1
309082	ENSRNOG00000028288	1	LOC309082	protein_coding	Clrn3
309082	ENSRNOG00000028288	1	RGD1305043	protein_coding	Clrn3
309082	ENSRNOG00000028288	1	Tmem12	protein_coding	Clrn3
405957	ENSRNOG00000062643	3		protein_coding	Olr760
292206	ENSRNOG00000015810	1	LOC292206	protein_coding	Trip13
294718	ENSRNOG00000013596	2	Dimt1l	protein_coding	Dimt1
294718	ENSRNOG00000013596	2	LOC294718	protein_coding	Dimt1
294718	ENSRNOG00000013596	2	RGD1311752	protein_coding	Dimt1
499668	ENSRNOG00000022863	2	LOC499668	protein_coding	Lingo4
499668	ENSRNOG00000022863	2	RGD1562025	protein_coding	Lingo4
499281	ENSRNOG00000017538	1	LOC361670	protein_coding	Lrrc27
499281	ENSRNOG00000017538	1	LOC499281	protein_coding	Lrrc27
499281	ENSRNOG00000017538	1	RGD1559981	protein_coding	Lrrc27
311796	ENSRNOG00000009377	3	Cobra1	protein_coding	Nelfb
311796	ENSRNOG00000009377	3	LOC311796	protein_coding	Nelfb
311796	ENSRNOG00000009377	3	RGD1307832	protein_coding	Nelfb
	ENSRNOG00000069093	2		protein_coding	
59301	ENSRNOG00000010349	4	LOC59301	protein_coding	Ghrl
29457	ENSRNOG00000027204	1	145-kDa STOP	protein_coding	Map6
29457	ENSRNOG00000027204	1	MAP-6	protein_coding	Map6
29457	ENSRNOG00000027204	1	Mtap6	protein_coding	Map6
29457	ENSRNOG00000027204	1	STOP	protein_coding	Map6
29457	ENSRNOG00000027204	1	STOP145	protein_coding	Map6
	ENSRNOG00000058651	1		snoRNA	AABR07004871.1
	ENSRNOG00000070886	1		lncRNA	
120100212	ENSRNOG00000056005	1		snRNA	U7
	ENSRNOG00000069847	2		lncRNA	
100526599	ENSRNOG00000035453	1	rno-mir-3596c	miRNA	Mir3596c
120100238	ENSRNOG00000063396	1		snoRNA	SNORD115
	ENSRNOG00000062736	2		lncRNA	
311358	ENSRNOG00000015499	3	LOC311358	protein_coding	Serinc4
311358	ENSRNOG00000015499	3	RGD1566077	protein_coding	Serinc4
100911668	ENSRNOG00000065199	4		protein_coding	Hoxa10
	ENSRNOG00000068709	1		lncRNA	
365340	ENSRNOG00000069410	1		protein_coding	Olr218
309376	ENSRNOG00000014903	1	MGC72597	protein_coding	Zfyve27
120100189	ENSRNOG00000055477	1		snRNA	U1
	ENSRNOG00000066157	1		lncRNA	
	ENSRNOG00000069518	3		lncRNA	
	ENSRNOG00000059537	1		snRNA	U4
	ENSRNOG00000070280	2		lncRNA	
365413	ENSRNOG00000064304	1	ratchr1-216570414-216571346_ORF	protein_coding	Olr361
100314193	ENSRNOG00000035530	1	rno-mir-192	miRNA	Mir192
116692	ENSRNOG00000021051	1	Arno	protein_coding	Cyth2
116692	ENSRNOG00000021051	1	CLM2	protein_coding	Cyth2
116692	ENSRNOG00000021051	1	Pscd2	protein_coding	Cyth2
116692	ENSRNOG00000021051	1	Sec7	protein_coding	Cyth2
116692	ENSRNOG00000021051	1	Sec7B	protein_coding	Cyth2
120100325	ENSRNOG00000069804	1		snoRNA	SNORD116
120100225	ENSRNOG00000055569	1		snoRNA	SNORD15
117556	ENSRNOG00000011160	1		protein_coding	Sv2b
	ENSRNOG00000063599	1		lncRNA	
309095	ENSRNOG00000017748	1	LOC309095	protein_coding	Nkx6-2
	ENSRNOG00000067237	1		lncRNA	
	ENSRNOG00000065307	1		pseudogene	
	ENSRNOG00000062707	2		lncRNA	
58815	ENSRNOG00000016227	1	MGC105380	protein_coding	Glrx3
58815	ENSRNOG00000016227	1	Txnl2	protein_coding	Glrx3
120100133	ENSRNOG00000070826	1		snRNA	U6
84387	ENSRNOG00000013395	1	Pglyrp	protein_coding	Pglyrp1
84387	ENSRNOG00000013395	1	Pgrp	protein_coding	Pglyrp1
84387	ENSRNOG00000013395	1	PGRP-S	protein_coding	Pglyrp1
499903	ENSRNOG00000004753	3	LOC499903	protein_coding	Napb
499903	ENSRNOG00000004753	3	SNAP-beta	protein_coding	Napb
499903	ENSRNOG00000004753	3	Snapb	protein_coding	Napb
365314	ENSRNOG00000016906	1	LOC365314	protein_coding	Lipt2
365314	ENSRNOG00000016906	1	RGD1305211	protein_coding	Lipt2
120100366	ENSRNOG00000066860	1		snoRNA	
	ENSRNOG00000069365	1		lncRNA	
296315	ENSRNOG00000020317	3	LOC296315	protein_coding	Rab5if
296315	ENSRNOG00000020317	3	MGC109198	protein_coding	Rab5if
296315	ENSRNOG00000020317	3	RGD1307752	protein_coding	Rab5if
120100326	ENSRNOG00000062499	1		snoRNA	SNORD116
310764	ENSRNOG00000015691	2	Fam212b	protein_coding	Inka2
310764	ENSRNOG00000015691	2	LOC310764	protein_coding	Inka2
310764	ENSRNOG00000015691	2	RGD1306526	protein_coding	Inka2
	ENSRNOG00000067382	2		lncRNA	
	ENSRNOG00000067821	1		pseudogene	
687092	ENSRNOG00000070448	1		protein_coding	
	ENSRNOG00000063062	1		lncRNA	
100314183	ENSRNOG00000036303	1	rno-mir-343	miRNA	Mir343
	ENSRNOG00000067171	1		protein_coding	
365341	ENSRNOG00000065290	1	ratchr1-164247597-164248520_ORF	protein_coding	Olr220
	ENSRNOG00000065800	3		lncRNA	
	ENSRNOG00000065902	2		lncRNA	
120100416	ENSRNOG00000055366	1		snoRNA	Gm24154
688590	ENSRNOG00000008463	4	MGC124740	protein_coding	Rundc3b
58980	ENSRNOG00000008121	4	naSi-1	protein_coding	Slc13a1
	ENSRNOG00000063706	2		lncRNA	
120100226	ENSRNOG00000052293	1		snoRNA	SNORD15
25417	ENSRNOG00000027582	1	CRMP-3	protein_coding	Dpysl4
25417	ENSRNOG00000027582	1	Crmp3	protein_coding	Dpysl4
25417	ENSRNOG00000027582	1	Dpys4	protein_coding	Dpysl4
25417	ENSRNOG00000027582	1	DRP-4	protein_coding	Dpysl4
25417	ENSRNOG00000027582	1	ULIP-4	protein_coding	Dpysl4
266631	ENSRNOG00000010595	3	Drb1	protein_coding	Rbm45
293083	ENSRNOG00000070096	1		protein_coding	Olr20
295786	ENSRNOG00000062311	3		protein_coding	Olr530
120100251	ENSRNOG00000064522	1		snoRNA	SNORD115
100313988	ENSRNOG00000035532	1	Mir101b	miRNA	Mir101-2
100313988	ENSRNOG00000035532	1	rno-mir-101b	miRNA	Mir101-2
308004	ENSRNOG00000009830	1	LOC308004	protein_coding	Fam204a
308004	ENSRNOG00000009830	1	RGD1305500	protein_coding	Fam204a
	ENSRNOG00000069707	4		protein_coding	
	ENSRNOG00000066257	1		lncRNA	
306657	ENSRNOG00000012742	1	Irx5	protein_coding	Irx2
306657	ENSRNOG00000012742	1	LOC306657	protein_coding	Irx2
293367	ENSRNOG00000063184	1		protein_coding	Olr221
499931	ENSRNOG00000020337	3	LOC102554229	protein_coding	Sla2
499931	ENSRNOG00000020337	3	LOC499931	protein_coding	Sla2
