Gene stable ID	Chromosome/scaffold name	Gene Synonym	Gene type	Gene name	NCBI gene (formerly Entrezgene) ID
ENSDARG00000097503	17		protein_coding	si:ch73-288o11.5	793902
ENSDARG00000104512	3		lincRNA	BX936284.1	
ENSDARG00000089622	6		protein_coding	fgd5b	
ENSDARG00000093926	16		lincRNA	CR855277.3	108179599
ENSDARG00000093957	5	im:6906298	protein_coding	si:dkey-251i10.2	562682
ENSDARG00000096908	6		protein_coding	si:ch73-185c24.2	794764
ENSDARG00000042370	17	si:dkey-265g24.3	protein_coding	ptafr	100002627
ENSDARG00000097746	16		protein_coding	si:rp71-77l1.1	569583
ENSDARG00000078991	13		protein_coding	si:ch211-195e19.1	100002956
ENSDARG00000101567	22	gcap5	protein_coding	guca1e	393629
ENSDARG00000101567	22	zgc:66243	protein_coding	guca1e	393629
ENSDARG00000093686	22	fj48b12	protein_coding	si:rp71-36a1.2	100034566
ENSDARG00000093686	22	wu:fj48b12	protein_coding	si:rp71-36a1.2	100034566
ENSDARG00000063341	2	si:ch211-284b7.3	protein_coding	czib	555997
ENSDARG00000102845	23	si:ch73-290k24.1	protein_coding	dclk2b	100332814
ENSDARG00000090836	20		protein_coding	si:ch211-191d2.2	101882796
ENSDARG00000036510	22	fb16c03	protein_coding	ccnt2b	321464
ENSDARG00000036510	22	wu:fb16c03	protein_coding	ccnt2b	321464
ENSDARG00000036510	22	wu:fj68b10	protein_coding	ccnt2b	321464
ENSDARG00000036510	22	zgc:55690	protein_coding	ccnt2b	321464
ENSDARG00000063150	7	nrxn2ba	protein_coding	nrxn2b	
ENSDARG00000063150	7	nrxn2bb	protein_coding	nrxn2b	
ENSDARG00000027088	24	hm:zeh0800	protein_coding	ptgdsb.1	336492
ENSDARG00000027088	24	L-PGDS	protein_coding	ptgdsb.1	336492
ENSDARG00000027088	24	ptgds	protein_coding	ptgdsb.1	336492
ENSDARG00000027088	24	ptgdsb	protein_coding	ptgdsb.1	336492
ENSDARG00000027088	24	wu:fb10b10	protein_coding	ptgdsb.1	336492
ENSDARG00000027088	24	wu:fb11h03	protein_coding	ptgdsb.1	336492
ENSDARG00000039365	13	wu:fi42e02	protein_coding	cuedc2	334351
ENSDARG00000039365	13	zgc:92255	protein_coding	cuedc2	334351
ENSDARG00000100083	1	sgut1	protein_coding	sugt1	492489
ENSDARG00000100083	1	wu:fd45a02	protein_coding	sugt1	492489
ENSDARG00000100083	1	zgc:103668	protein_coding	sugt1	492489
ENSDARG00000092020	16		antisense	CR855277.1	
ENSDARG00000087979	2		antisense	CT573433.1	101882239
ENSDARG00000058593	16	zgc:64070	protein_coding	sri	393344
ENSDARG00000101917	7	si:ch73-315f9.1	protein_coding	pmfbp1	
ENSDARG00000095756	2		protein_coding	si:ch211-190k17.19	
ENSDARG00000012016	1		protein_coding	hpgd	565975
ENSDARG00000020201	2	hrpt2	protein_coding	cdc73	393319
ENSDARG00000020201	2	sun	protein_coding	cdc73	393319
ENSDARG00000020201	2	sunrise	protein_coding	cdc73	393319
ENSDARG00000020201	2	zgc:63956	protein_coding	cdc73	393319
ENSDARG00000012892	21	zgc:66100	protein_coding	ammecr1	393553
ENSDARG00000012892	21	zgc:85865	protein_coding	ammecr1	393553
ENSDARG00000068100	8	fam19a5l	protein_coding	tafa5l	100004683
ENSDARG00000068100	8	si:ch211-240g9.1	protein_coding	tafa5l	100004683
ENSDARG00000101700	22		protein_coding	si:ch1073-181h11.1	
ENSDARG00000089794	24		protein_coding	si:dkeyp-101e12.1	
ENSDARG00000057536	9		protein_coding	crygm2a	553177
ENSDARG00000088699	17		protein_coding	pdzd8	561279
ENSDARG00000086623	24	si:ch211-223f21.2	protein_coding	vav3a	
ENSDARG00000054162	2	si:dkeyp-66d1.4	protein_coding	nfatc4	561682
ENSDARG00000054162	2	si:dkeyp-66d1.5	protein_coding	nfatc4	561682
ENSDARG00000093469	3		protein_coding	znf653	100329742
ENSDARG00000008788	23	fk61c03	protein_coding	camk1gb	393802
ENSDARG00000008788	23	wu:fk61c03	protein_coding	camk1gb	393802
ENSDARG00000008788	23	zgc:73155	protein_coding	camk1gb	393802
ENSDARG00000007671	21		protein_coding	ghrb	560202
ENSDARG00000105628	7		transcribed_unprocessed_pseudogene	BX927082.2	
ENSDARG00000079187	6	si:ch211-155d24.2	protein_coding	tbx19	100538180
ENSDARG00000079187	6	tbx-19	protein_coding	tbx19	100538180
ENSDARG00000079187	6	Tpit	protein_coding	tbx19	100538180
ENSDARG00000093671	24		unprocessed_pseudogene	BX001030.1	
ENSDARG00000013174	19	si:dkey-231l1.4	protein_coding	nkd3	100500933
ENSDARG00000014806	9	ptplb	protein_coding	hacd2	334121
ENSDARG00000014806	9	wu:fi32c08	protein_coding	hacd2	334121
ENSDARG00000014806	9	zgc:55421	protein_coding	hacd2	334121
ENSDARG00000105510	16		antisense	CU466278.2	
ENSDARG00000097931	5		lincRNA	BX323557.1	100536168
ENSDARG00000078271	10		protein_coding	si:ch211-57m13.8	
ENSDARG00000030945	15	fj53g11	protein_coding	si:ch211-259g3.4	
ENSDARG00000030945	15	wu:fj53g11	protein_coding	si:ch211-259g3.4	
ENSDARG00000028259	15	aldh3a2	protein_coding	aldh3a2a	323653
ENSDARG00000028259	15	sls	protein_coding	aldh3a2a	323653
ENSDARG00000028259	15	wu:fc06b11	protein_coding	aldh3a2a	323653
ENSDARG00000028259	15	zgc:92064	protein_coding	aldh3a2a	323653
ENSDARG00000013203	1		protein_coding	si:ch211-1f22.1	
ENSDARG00000011196	23	dnajc11	protein_coding	dnajc11a	322953
ENSDARG00000011196	23	wu:fb77f10	protein_coding	dnajc11a	322953
ENSDARG00000011196	23	wu:fc22f02	protein_coding	dnajc11a	322953
ENSDARG00000011196	23	zgc:55845	protein_coding	dnajc11a	322953
ENSDARG00000097033	16		antisense	CU466278.1	
ENSDARG00000011743	10	si:dkey-200l5.3	protein_coding	pigo	563993
ENSDARG00000077717	11	zgc:92868	protein_coding	rpl29	445040
ENSDARG00000043673	20	fj56d07	protein_coding	si:dkey-174m14.3	563117
ENSDARG00000043673	20	wu:fj56d07	protein_coding	si:dkey-174m14.3	563117
ENSDARG00000024116	5	wu:fa18d07	protein_coding	vamp8	327007
ENSDARG00000024116	5	zgc:56588	protein_coding	vamp8	327007
ENSDARG00000058597	16	fb30h07	protein_coding	nt5c3a	321720
ENSDARG00000058597	16	nt5c3	protein_coding	nt5c3a	321720
ENSDARG00000058597	16	wu:fb30h07	protein_coding	nt5c3a	321720
ENSDARG00000058597	16	zgc:66117	protein_coding	nt5c3a	321720
ENSDARG00000021899	14	zgc:110571	protein_coding	b4galt7	445022
ENSDARG00000103202	4		lincRNA	CR383668.1	
ENSDARG00000077368	13	zgc:77434	protein_coding	slc30a6	402949
ENSDARG00000077368	13	ZnT6	protein_coding	slc30a6	402949
ENSDARG00000008380	7	wu:fc95f02	protein_coding	brd7	406675
ENSDARG00000008380	7	zgc:66347	protein_coding	brd7	406675
ENSDARG00000044956	23	zgc:162061	protein_coding	zgc:114123	569174
ENSDARG00000079632	1	im:7142218	protein_coding	si:dkey-28b4.7	571834
ENSDARG00000092802	9		processed_transcript	BX957328.1	101883797
ENSDARG00000022045	25		protein_coding	map1ab	797545
ENSDARG00000058231	1	im:7162273	protein_coding	nt5c2b	557972
ENSDARG00000058231	1	zgc:153651	protein_coding	nt5c2b	557972
ENSDARG00000004953	1		protein_coding	mxb	360143
ENSDARG00000074552	11	fj19d10	protein_coding	ndufs7	796997
ENSDARG00000074552	11	im:7149436	protein_coding	ndufs7	796997
ENSDARG00000074552	11	wu:fj19d10	protein_coding	ndufs7	796997
ENSDARG00000038009	3		antisense	CT573429.1	798736
ENSDARG00000037429	1	mfn	protein_coding	tll1	474335
ENSDARG00000037429	1	mini fin	protein_coding	tll1	474335
ENSDARG00000037429	1	tld	protein_coding	tll1	474335
ENSDARG00000037429	1	tolloid	protein_coding	tll1	474335
ENSDARG00000044875	9	si:dkey-84d14.9	protein_coding	crygm2e	569604
ENSDARG00000013251	18	zgc:113344	protein_coding	hsf4	503739
ENSDARG00000009885	3	si:dkey-165i8.7	protein_coding	sult3st1	558790
ENSDARG00000078954	19	etID309733.19	protein_coding	rxrba	30530
ENSDARG00000078954	19	fb93c09	protein_coding	rxrba	30530
ENSDARG00000078954	19	NR2B2-A	protein_coding	rxrba	30530
ENSDARG00000078954	19	rxrb	protein_coding	rxrba	30530
ENSDARG00000078954	19	rxre	protein_coding	rxrba	30530
ENSDARG00000078954	19	wu:fb93c09	protein_coding	rxrba	30530
ENSDARG00000027602	15	mb21d2b	protein_coding	lrfn1	393587
ENSDARG00000027602	15	zgc:63670	protein_coding	lrfn1	393587
ENSDARG00000100594	10	si:ch211-226m13.4	protein_coding	sez6l	100331987
ENSDARG00000096666	1		protein_coding	si:ch211-1f22.2	
